freq_GHz,detector_norm_avg,detector_norm_sd,contrast_pct,relative_noise_pct
2.714965229148953,0.9990030571663641,0.013430159291036997,-1.2294808199489387,1.3443561753585775
2.7151383730584255,0.9992597870453389,0.013184072874097834,-1.2040981714640555,1.3193839124739681
2.7153115169678976,0.9995165169243131,0.013229189241675345,-1.1787155229792383,1.3235588424675433
2.71548466087737,0.9997732468032878,0.013562602623030844,-1.153332874494366,1.356567868403802
2.7156578047868427,1.0000299766822627,0.014163968487118378,-1.127950226009483,1.4163543911062841
2.715830948696315,1.0002867065612366,0.015001096232392609,-1.1025675775246875,1.4996796552423497
2.7160040926057873,1.0005434364402104,0.01603710835901013,-1.0771849290399143,1.6028397943489443
2.71617723651526,1.000800166319186,0.01723617916881279,-1.0518022805549652,1.7222398385688962
2.7163503804247324,1.0010568961981607,0.01856674370038683,-1.026419632070082,1.8547141297263001
2.7165235243342045,1.0013136260771345,0.020002578393991992,-1.0010369835853086,1.997633695683986
2.716696668243677,1.001570355956109,0.021522624948075518,-0.9756543351004474,2.148887975775781
2.7168698121531496,1.0018270858350835,0.023110272572579176,-0.9502716866156081,2.306812512791603
2.7170429560626217,1.0020838157140584,0.024752516711997807,-0.924889038130725,2.4701044287757328
2.7172160999720942,1.002340545593032,0.02643918569571314,-0.8995063896459515,2.6377448075863743
2.7173892438815668,1.002597275472007,0.02816229870594249,-0.8741237411610684,2.808934294448798
2.717562387791039,1.0028540053509811,0.029915558962326602,-0.8487410926762511,2.9830422776101577
2.7177355317005114,1.0031107352299558,0.03169396376488836,-0.8233584441913899,3.159567797629317
2.717908675609984,1.0033674651089308,0.03349350805316347,-0.7979757957064848,3.3381098369107716
2.718081819519456,1.0036241949879046,0.03531095999487868,-0.7725931472217115,3.5183448317828008
2.7182549634289286,1.0038809248668796,0.03714369100249036,-0.7472104987368063,3.7000096408262593
2.718428107338401,1.0041376547458543,0.03898954652586634,-0.7218278502519451,3.8828886001426306
2.7186012512478737,1.0043943846248284,0.040846747321819504,-0.6964452017671278,4.066803632825665
2.7187743951573458,1.0046511145038026,0.04271381353529188,-0.6710625532823105,4.251606644201877
2.7189475390668183,1.0049078443827775,0.04458950591965381,-0.6456799047974273,4.437173634269026
2.719120682976291,1.0051645742617519,0.046472780001476775,-0.620297256312588,4.623400106953524
2.719293826885763,1.005421304140726,0.04836275008152094,-0.5949146078277707,4.810197464718903
2.7194669707952355,1.0056780340197005,0.050258660759174255,-0.5695319593429315,4.997490156794031
2.719640114704708,1.0059347638986755,0.05215986425058562,-0.5441493108580264,5.185213407719501
2.71981325861418,1.0020126442525739,0.013384180621314945,-0.9319256954774665,1.3357297134008261
2.7199864025236526,1.002131616708846,0.012960958371019161,-0.9201629974658447,1.2933389342195327
2.720159546433125,1.0022505891651183,0.012547890856509432,-0.9084002994542231,1.2519714123552586
2.7203326903425973,1.0023695616213895,0.012146014163450979,-0.8966376014427111,1.2117301470930655
2.72050583425207,1.0024885340776617,0.01175647596990172,-0.8848749034310894,1.172729220361433
2.7206789781615424,1.0026075065339335,0.011380543329001208,-0.8731122054195116,1.1350945664015961
2.720852122071015,1.0027264789902057,0.011019608784160348,-0.86134950740789,1.0989645745924281
2.721025265980487,1.0028454514464784,0.010675193726996466,-0.8495868093962243,1.0644904169031073
2.7211984098899595,1.0029644239027506,0.010348947604569173,-0.8378241113846027,1.0318359612696122
2.721371553799432,1.0030833963590224,0.010042641285817383,-0.8260614133730249,1.0011771027483873
2.721544697708904,1.0032023688152945,0.009758152669915334,-0.8142987153614251,0.9727003218143283
2.7217178416183767,1.0033213412715662,0.009497442556994227,-0.8025360173498474,0.9466002731445518
2.7218909855278492,1.003440313727839,0.009262519029816167,-0.7907733193381817,0.9230762311517435
2.7220641294373213,1.0035592861841105,0.009055389251285108,-0.7790106213266259,0.9023272840926937
2.722237273346794,1.0036782586403832,0.00887799877602689,-0.7672479233149603,0.8845462875775878
2.7224104172562664,1.003797231096655,0.008732160219685193,-0.7554852253033825,0.8699127621766053
2.7225835611657385,1.0039162035529272,0.008619475273915862,-0.7437225272917608,0.8585851332422922
2.722756705075211,1.004035176009199,0.008541256228056147,-0.731959829280183,0.8506929271149254
2.7229298489846836,1.0041541484654717,0.00849845479891736,-0.7201971312685174,0.8463297006644377
2.723102992894156,1.0042731209217437,0.008491606564452189,-0.7084344332569177,0.8455475296061302
2.7232761368036282,1.0043920933780155,0.008520798212721852,-0.6966717352453399,0.8483537722867103
2.7234492807131008,1.0045110658342882,0.008585662139792912,-0.6849090372336742,0.8547105583811726
2.7236224246225733,1.00463003829056,0.008685399163866639,-0.6731463392220964,0.8645370766183123
2.7237955685320454,1.004749010746832,0.008818826166388748,-0.6613836412104966,0.8777143417970321
2.723968712441518,1.0048679832031042,0.008984442293795877,-0.649620943198875,0.8940918054884368
2.7241418563509905,1.0049869556593765,0.00918050563794751,-0.6378582451872533,0.9134950047111943
2.7243150002604626,1.005105928115648,0.00940511224103598,-0.6260955471756975,0.9357334364417182
2.724488144169935,1.0052249005719205,0.00965627054430778,-0.6143328491640538,0.9606079732817865
2.7246612880794077,1.0067387087821098,0.03162768988995501,-0.4646640150330257,3.1415986704451084
2.7248344319888798,1.0066572458943968,0.03046424181037272,-0.47271817628469026,3.0262775075249957
2.7250075758983523,1.0065757830066833,0.029305990910120754,-0.48077233753639875,2.9114540012658114
2.725180719807825,1.0064943201189704,0.028153578639402342,-0.48882649878804135,2.797192003634408
2.7253538637172974,1.0064128572312572,0.02700775240599737,-0.4968806600397279,2.6835659155128853
