run_index,ch1_max_V,ch1_min_V,diff_mV
0,0.255891709056,0.21408266406400003,41.80904499199997
1,0.26875603059200004,0.24463542771200003,24.120602880000007
2,0.304132914816,-0.060892208767999945,365.02512358399997
3,0.296092713856,0.26875603059200004,27.336683263999962
4,0.26553995020800003,0.22694698560000004,38.59296460799999
5,0.28966055308800004,0.263931910016,25.72864307200001
6,0.28805251289600003,0.24785150809600004,40.20100479999999
7,0.345941959808,-0.06250024895999995,408.44220876799994
8,0.26875603059200004,0.23659522675200004,32.16080384
9,0.345941959808,-0.06410828915199995,410.05024896
10,0.29930879424,0.263931910016,35.37688422399998
11,0.29287663347200005,0.25910778944,33.76884403200003
12,0.300916834432,0.26875603059200004,32.16080383999997
13,0.296092713856,0.27197211097600005,24.120602879999954
14,0.297700754048,-0.057676128383999936,355.37688243199995
15,0.26875603059200004,0.24302738752000003,25.72864307200001
16,0.24945954828800004,0.22051482483200002,28.94472345600002
17,0.29448467366400005,0.257499749248,36.98492441600004
18,0.30734899520000003,0.27036407078400004,36.984924415999984
19,0.302524874624,0.278404271744,24.120602880000007
20,0.296092713856,0.260715829632,35.37688422399998
21,0.257499749248,0.23337914636800003,24.120602879999982
22,0.26553995020800003,0.23337914636800003,32.16080384
23,0.27036407078400004,0.24141934732800002,28.94472345600002
24,0.28322839232,0.23498718656000003,48.241205759999986
25,0.302524874624,0.26875603059200004,33.768844031999976
26,0.296092713856,0.23659522675200004,59.497487103999966
27,0.284836432512,0.24463542771200003,40.20100479999999
28,0.26553995020800003,0.23820326694400001,27.336683264000015
29,0.260715829632,0.23016306598400005,30.55276364799997
30,0.278404271744,0.24624346790400004,32.16080383999997
31,0.344333919616,-0.06410828915199995,408.44220876799994
32,0.29287663347200005,0.254283668864,38.592964608000045
33,0.345941959808,-0.06250024895999995,408.44220876799994
34,0.262323869824,0.21569070425600004,46.63316556799998
35,0.263931910016,0.24302738752000003,20.904522496
36,0.252675628672,0.21729874444800004,35.37688422399995
37,0.29287663347200005,0.26875603059200004,24.120602880000007
38,0.344333919616,-0.060892208767999945,405.22612838399994
39,0.28322839232,0.257499749248,25.72864307200001
40,0.337901758848,-0.05606808819199993,393.96984703999993
41,0.342725879424,-0.06410828915199995,406.83416857599997
42,0.27036407078400004,0.23337914636800003,36.98492441600001
43,0.345941959808,-0.06410828915199995,410.05024896
44,0.296092713856,0.263931910016,32.16080383999997
45,0.281620352128,0.24785150809600004,33.768844031999976
46,0.296092713856,0.26553995020800003,30.55276364799997
47,0.29448467366400005,0.26714799040000003,27.336683264000015
48,0.345941959808,-0.06410828915199995,410.05024896
49,0.26553995020800003,0.23981130713600002,25.72864307200001
