time_s,ch1_V_avg,ch2_V_avg,ch1_V_sd,ch2_V_sd
-0.00186,-0.01897098336581817,7.915923638109089,0.0036381543429395086,0.7616741285590766
-0.00185808,-0.01904407611345454,7.9140963194181815,0.003521750880024371,0.7662829937527766
-0.0018561600000000001,-0.019171988421818168,7.921405594181817,0.0035909020799736783,0.7666663596297879
-0.00185424,-0.019190261608727267,7.921405594181817,0.003568094179111584,0.763690240424821
-0.0018523200000000002,-0.019226807982545446,7.912269000727272,0.0033769324032895936,0.7686650336815689
-0.0018504,-0.019135442047999995,7.925060231563635,0.0034746454096519614,0.7527155776433504
-0.00184848,-0.019171988421818175,7.925060231563634,0.0034082800234999946,0.761737692273774
-0.0018465600000000001,-0.01913544204799999,7.917750956799998,0.0034192350628740906,0.7660999560452106
-0.00184464,-0.01904407611345454,7.926887550254545,0.003415864263895798,0.7611391063913883
-0.0018427200000000002,-0.018386241384727265,7.915923638109089,0.004389674399790864,0.758678426244188
-0.0018408,-0.01683302049745454,7.915923638109089,0.009914799515813198,0.7607090619501287
-0.0018388800000000002,-0.016010727086545443,7.9177509568,0.010155092432990037,0.7569357511785427
-0.0018369600000000001,-0.012849465751272715,7.917750956799998,0.015842136438409687,0.7688756896167988
-0.00183504,-0.012867738938181807,7.915923638109089,0.015289318644693918,0.7609021731929023
-0.0018331200000000001,-0.01332456861090908,7.925060231563635,0.014013056419964665,0.7619305428103088
-0.0018312,-0.012081991901090904,7.921405594181817,0.015487223936243794,0.7725842053289294
-0.0018292800000000002,-0.011625162228363628,7.919578275490907,0.014908233042260098,0.7645620195025261
-0.00182736,-0.012758099816727266,7.915923638109089,0.013844324041678712,0.7648502088780106
-0.0018254400000000002,-0.013452480919272713,7.915923638109089,0.013436645980835375,0.7646580946959886
-0.0018235200000000001,-0.014585418507636354,7.919578275490909,0.01147387360377355,0.7663853886353985
-0.0018216,-0.01580972203054544,7.919578275490907,0.008397657713002955,0.7670560636238134
-0.0018196800000000002,-0.016759927749818174,7.921405594181817,0.006328144721259282,0.7674325168603027
-0.00181776,-0.01739948929163635,7.925060231563634,0.004906614397181684,0.7690320154732012
-0.0018158400000000002,-0.01792941171199999,7.919578275490909,0.003958876560542969,0.7674390433222259
-0.0018139200000000001,-0.018240055889454536,7.919578275490909,0.0036245454684062785,0.7636006027254018
-0.001812,-0.018367968197818173,7.926887550254545,0.003446857834544711,0.7649898979797168
-0.0018100800000000002,-0.018313148637090902,7.9232329128727255,0.0032063064996926014,0.7670386509122435
-0.00180816,-0.01602900027345454,7.926887550254543,0.009883632173539861,0.7601733605534312
