run_index,ch1_max_V,ch1_min_V,diff_mV
0,0.567716959808,0.15927475104,408.44220876799994
1,0.47766670905599995,0.45676218656,20.904522495999945
2,0.43585766406399995,0.40208882003199997,33.768844031999976
3,0.5162596736639999,0.495355151168,20.904522495999945
4,0.47766670905599995,0.445505905216,32.16080383999997
5,0.56128479904,0.164098871616,397.18592742399994
6,0.5050033923199999,0.47445062867199994,30.55276364799997
7,0.44068178463999996,0.42138530233599997,19.296482303999994
8,0.47445062867199994,0.451938065984,22.51256268799995
9,0.5162596736639999,0.49696319136,19.29648230399994
10,0.5050033923199999,0.47927474924799995,25.728643071999958
11,0.567716959808,0.157666710848,410.05024896
12,0.46319434732799997,0.44228982483199997,20.904522496
13,0.429425503296,0.39887273964799996,30.552763648000024
14,0.458370226752,0.43264158367999994,25.728643072000068
15,0.46158630713599996,0.43424962387199995,27.336683264000015
16,0.49696319136,0.458370226752,38.59296460799999
17,0.5580687186559999,0.157666710848,400.40200780799995
18,0.45997826694399996,0.44228982483199997,17.68844211199999
19,0.5146516334719999,0.493747110976,20.904522495999945
20,0.45997826694399996,0.43424962387199995,25.72864307200001
21,0.447113945408,0.427817463104,19.296482303999994
22,0.49696319136,0.47605866886399995,20.904522496000055
23,0.5162596736639999,0.495355151168,20.904522495999945
24,0.46158630713599996,0.426209422912,35.37688422399998
25,0.43585766406399995,0.413345101376,22.51256268799995
26,0.45997826694399996,0.43585766406399995,24.120602880000007
27,0.56128479904,0.201083796032,360.20100300799993
28,0.47445062867199994,0.455154146368,19.29648230399994
29,0.566108919616,0.157666710848,408.44220876799994
30,0.5114355530879999,0.48249082963199996,28.944723455999966
31,0.5516365578879999,0.361887815232,189.74874265599993
32,0.566108919616,0.162490831424,403.61808819199996
33,0.495355151168,0.468018467904,27.336683264000015
34,0.43585766406399995,0.41656118176,19.29648230399994
35,0.469626508096,0.447113945408,22.512562688000003
36,0.5114355530879999,0.490531030592,20.904522495999945
37,0.49696319136,0.47284258848,24.120602880000007
38,0.566108919616,0.157666710848,408.44220876799994
39,0.45676218656,0.43746570425599995,19.29648230400005
40,0.42299334252799997,0.39083253868799994,32.16080384000003
41,0.451938065984,0.429425503296,22.512562688000003
42,0.455154146368,0.426209422912,28.94472345600002
43,0.490531030592,0.45676218656,33.768844031999976
44,0.5596767588479999,0.15927475104,400.40200780799995
45,0.453546106176,0.43103354348799994,22.51256268800006
46,0.5082194727039999,0.4889229904,19.29648230399994
47,0.450330025792,0.426209422912,24.120602880000007
48,0.44228982483199997,0.42138530233599997,20.904522496
49,0.492139070784,0.469626508096,22.512562688000003
50,0.5082194727039999,0.490531030592,17.688442111999937
51,0.450330025792,0.419777262144,30.55276364799997
52,0.43264158367999994,0.410129020992,22.51256268799995
53,0.450330025792,0.427817463104,22.512562688000003
54,0.39565665926399995,0.365103895616,30.55276364799997
55,0.466410427712,0.4487219856,17.68844211199999
56,0.567716959808,0.157666710848,410.05024896
57,0.500179271744,0.47284258848,27.336683264000015
58,0.538772236352,0.16892299219199997,369.84924416
59,0.567716959808,0.25093304198399996,316.783917824
60,0.487314950208,0.46158630713599996,25.72864307200001
61,0.427817463104,0.411737061184,16.080401919999986
62,0.46480238751999997,0.44228982483199997,22.512562688000003
63,0.503395352128,0.48409886982399997,19.29648230400005
64,0.487314950208,0.46319434732799997,24.120602880000007
65,0.567716959808,0.16731495200000002,400.40200780799995
66,0.450330025792,0.43103354348799994,19.29648230400005
67,0.413345101376,0.382792337728,30.552763648000024
68,0.4487219856,0.42299334252799997,25.72864307200001
69,0.447113945408,0.414953141568,32.16080383999997
